系統,経由地,出発時刻,到着時刻
千02,市営霊園,5:27,6:09
千02,市営霊園,5:53,6:35
千02,市営霊園,6:22,7:04
千02,市営霊園,6:42,7:24
千02,市営霊園,7:02,7:44
千02,市営霊園,7:22,8:04
千02,市営霊園,7:42,8:24
千02,市営霊園,8:02,8:44
千02,市営霊園,8:22,9:04
千02,市営霊園,8:42,9:24
千02,市営霊園,9:02,9:44
千02,市営霊園,9:22,10:04
千02,市営霊園,9:42,10:24
千02,市営霊園,10:02,10:44
千02,市営霊園,10:22,11:04
千02,市営霊園,10:42,11:24
千02,市営霊園,11:02,11:44
千02,市営霊園,11:22,12:04
千02,市営霊園,11:42,12:24
千02,市営霊園,12:02,12:44
千02,市営霊園,12:22,13:04
千02,市営霊園,12:42,13:24
千02,市営霊園,13:02,13:44
千05,鶴沢町　,13:18,13:59
千02,市営霊園,13:22,14:04
千05,鶴沢町　,13:38,14:19
千02,市営霊園,13:42,14:24
千05,鶴沢町　,13:58,14:39
千02,市営霊園,14:02,14:44
千05,鶴沢町　,14:18,14:59
千02,市営霊園,14:22,15:04
千05,鶴沢町　,14:38,15:19
千02,市営霊園,14:42,15:24
千05,鶴沢町　,14:58,15:39
千02,市営霊園,15:02,15:44
千05,鶴沢町　,15:18,15:59
千02,市営霊園,15:22,16:04
千05,鶴沢町　,15:38,16:19
千02,市営霊園,15:42,16:24
千05,鶴沢町　,15:58,16:39
千02,市営霊園,16:02,16:44
千05,鶴沢町　,16:18,16:59
千02,市営霊園,16:22,17:04
千05,鶴沢町　,16:38,17:19
千02,市営霊園,16:42,17:24
千05,鶴沢町　,16:58,17:39
千02,市営霊園,17:02,17:44
千05,鶴沢町　,17:18,17:59
千02,市営霊園,17:22,18:04
千05,鶴沢町　,17:38,18:19
千02,市営霊園,17:42,18:24
千05,鶴沢町　,17:58,18:39
千02,市営霊園,18:02,18:44
千05,鶴沢町　,18:18,18:59
千02,市営霊園,18:22,19:04
千05,鶴沢町　,18:38,19:19
千02,市営霊園,18:42,19:24
千05,鶴沢町　,18:58,19:39
千02,市営霊園,19:02,19:44
千05,鶴沢町　,19:18,19:59
千02,市営霊園,19:22,20:04
千05,鶴沢町　,19:38,20:19
千02,市営霊園,19:43,20:25
千05,鶴沢町　,19:58,20:39
千02,市営霊園,20:05,20:47
千02,市営霊園,20:27,21:09
千02,市営霊園,20:50,21:32
千02,市営霊園,21:14,21:56
千02,市営霊園,21:42,22:24
千02,市営霊園,22:14,22:56
EOF,EOF,EOF,EOF
