系統,経由地,出発時刻,到着時刻
つ01,鷹の台四丁目,5:39,6:02
つ01,鷹の台四丁目,6:18,6:41
つ01,鷹の台四丁目,6:32,6:55
つ01,鷹の台四丁目,7:04,7:27
つ01,鷹の台四丁目,7:30,7:53
つ01,鷹の台四丁目,7:57,8:20
つ01,鷹の台四丁目,9:15,9:38
つ01,鷹の台四丁目,9:41,10:04
つ01,鷹の台四丁目,11:13,11:36
つ01,鷹の台四丁目,11:40,12:03
つ01,鷹の台四丁目,12:14,12:37
つ01,鷹の台四丁目,12:41,13:04
つ01,鷹の台四丁目,13:42,14:05
つ01,鷹の台四丁目,15:13,15:36
つ01,鷹の台四丁目,15:40,16:03
つ01,鷹の台四丁目,16:32,16:55
つ01,鷹の台四丁目,16:53,17:16
つ01,鷹の台四丁目,17:32,17:55
つ01,鷹の台四丁目,18:11,18:34
つ01,鷹の台四丁目,18:29,18:52
つ01,鷹の台四丁目,19:21,19:44
つ01,鷹の台四丁目,19:33,19:56
つ01,鷹の台四丁目,20:43,21:06
つ01,鷹の台四丁目,21:23,21:46
EOF,EOF,EOF,EOF
